danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,time_signature,duration_ms,explicit,track.name,track.popularity,track.album.name,key_name,mode_name,key_mode,billboard_year,billboard_rank,ARTIST,Hit
0.836,0.509,-13.668,0.0548,0.467,4.10E-06,0.0436,0.949,138.714,5IMtdHjJ1OtkxbGe4zfUxQ,4,276493,FALSE,Escape (The Pina Colada Song),71,Partners In Crime,C,major,C major,1980,11,Rupert Holmes,1
0.546,0.578,-8.745,0.0406,0.0114,6.54E-05,0.0692,0.819,128.037,6HZ67VImxqr8aMBEEhblzf,4,238906,FALSE,Cars,0,The Pleasure Principle,D,major,D major,1980,12,Gary Numan,1
0.507,0.436,-12.281,0.0333,0.167,0,0.0647,0.658,168.608,1Bh99nlusyJjGkhlrnzbkI,4,270400,FALSE,Cruisin' - Mono Version,34,20th Century Masters: The Millennium Collection: Best of Smokey Robinson,F#,minor,F# minor,1980,13,Smokey Robinson,1
0.818,0.768,-6.975,0.0482,0.289,4.73E-06,0.107,0.922,121.562,7cLkQkC9Z7hnN767rfRl5G,4,242666,FALSE,Working My Way Back to You,55,The Very Best of the Spinners,A,minor,A minor,1980,14,The Spinners,1
0.59,0.589,-9.859,0.03,0.37,1.22E-06,0.162,0.501,114.471,6MhK1gPrgtgRedEjSUz18I,4,231133,FALSE,Lost In Love,51,Ultimate Air Supply,G,major,G major,1980,15,Air Supply,1
0.616,0.444,-14.224,0.0276,0.461,0.000115,0.0847,0.763,143.805,19Kf8FxBJ5a1Bb8uKCrIIe,4,313186,FALSE,Little Jeannie,51,21 At 33,A#,major,A# major,1980,16,Elton John,1
0.669,0.707,-13.66,0.0478,0.347,0.000716,0.0997,0.806,124.335,7gUMShP1l20tC0xf17Zplk,4,275506,FALSE,Ride Like the Wind,60,Christopher Cross,C,minor,C minor,1980,17,Christopher Cross,1
0.867,0.909,-6.276,0.0581,0.0979,0.0127,0.0434,0.863,108.02,6NJNZEjyCD2YWFPsBzIHnM,4,217426,FALSE,Upside Down - Single Version,34,Diamond Diana: The Legacy Collection,F,minor,F minor,1980,18,Diana Ross,1
0.482,0.615,-11.093,0.0398,0.00888,1.78E-06,0.0431,0.437,96.307,6dw6BquK0Mv72p6HpusqKN,4,230533,FALSE,Please Don't Go - Single Version,52,Do You Wanna Go Party,F#,major,F# major,1980,19,KC and the Sunshine Band,1
0.27,0.282,-9.88,0.0327,0.629,0,0.0924,0.0787,171.555,5MwGCQbFIQEXrirWYJ1hZt,4,264760,FALSE,Babe,38,Greatest Hits,D,major,D major,1980,20,Styx,1
0.348,0.313,-11.379,0.0324,0.866,0.000257,0.13,0.356,82.004,7wlPnBfcywEctiVWwCdxvn,3,220600,FALSE,With You I'm Born Again,35,Ultimate Collection: Billy Preston,A#,major,A# major,1980,21,Billy Preston,1
0.614,0.295,-13.356,0.0396,0.0455,0,0.086,0.541,73.991,5ogxSMDJrwlijROCfgv0NN,4,229560,FALSE,Shining Star - Single Version,11,After Midnight (Expanded Version),E,major,E major,1980,22,The Manhattans,1
0.355,0.0629,-19.544,0.0338,0.899,0.000631,0.0975,0.203,124.422,2LdtluFBgL8cuSo9nkvJ57,4,224866,FALSE,Still,47,All The Great Love Songs,C#,major,C# major,1980,23,Commodores,1
0.664,0.358,-15.493,0.0259,0.773,0.000916,0.0647,0.582,106.186,71k4FgJ4GuBq35Zre9BCdc,3,198600,FALSE,Yes I'm Ready,32,Casablanca Records Greatest Hits,F,major,F major,1980,24,Teri DeSario,1
0.734,0.735,-10.13,0.0524,0.373,0,0.227,0.883,103.862,6uxGAruWvj6O2hVBBTNITa,4,177426,FALSE,Sexy Eyes - Single Version,45,Dr. Hook - The Best Of,A,minor,A minor,1980,25,Dr. Hook,1
0.676,0.624,-9.213,0.0345,0.434,0.0398,0.576,0.661,122.261,3MshXF4YQRoFw82plcsUge,4,206733,FALSE,Steal Away,51,Robbie Dupree,D,major,D major,1980,26,Robbie Dupree,1
0.498,0.723,-8.053,0.05,0.238,0,0.353,0.882,153.227,6JHXiRD1QjMK1N6AQEnL04,4,324040,FALSE,Biggest Part of Me,59,One Eighty,A#,major,A# major,1980,27,Ambrosia,1
0.641,0.497,-12.228,0.029,0.254,2.15E-06,0.158,0.743,102.274,0YO8KsprTrEUEvJevpI7Na,4,236733,FALSE,This Is It,51,Keep The Fire,G,minor,G minor,1980,28,Kenny Loggins,1
0.783,0.669,-9.438,0.043,0.355,0,0.0826,0.871,122.772,6zKFVGEDGLtf63Yxpz8kzJ,4,236693,FALSE,Cupid / I've Loved You for a Long Time,29,The Very Best of the Spinners,A,major,A major,1980,29,The Spinners,1
0.754,0.778,-9.029,0.0526,0.0958,2.96E-06,0.245,0.935,109.602,416LkbWckopGVSUoJKgOiR,4,214466,FALSE,Let's Get Serious - Single Version,26,"Hitsville USA, The Motown Collection 1972-1992",A#,minor,A# minor,1980,30,Jermaine Jackson,1
0.575,0.219,-16.678,0.0274,0.531,0,0.0946,0.329,79.976,6xSrfSM8IvRPzwbC4VjBcg,4,222066,FALSE,Don't Fall In Love With A Dreamer,52,Gideon,A,major,A major,1980,31,Kenny Rogers,1
0.469,0.382,-13.203,0.0374,0.364,0.00025,0.36,0.178,149.994,6Hu6dzwlvoyg3zBUC8k4BK,4,256146,FALSE,Sailing,66,Christopher Cross,D,major,D major,1980,32,Christopher Cross,1
0.308,0.0427,-24.709,0.0336,0.865,0,0.179,0.383,158.399,56ilrbKJF2bph5W6eZaM5E,4,195066,FALSE,Longer,60,Phoenix,G,major,G major,1980,33,Dan Fogelberg,1
0.652,0.433,-12.843,0.0588,0.134,7.37E-06,0.146,0.675,91.471,0JkIre0YxNmKGMU5V7ZiDx,4,258733,FALSE,Coward Of The County,60,Kenny,G,major,G major,1980,34,Kenny Rogers,1
0.674,0.721,-8.495,0.151,0.225,3.48E-05,0.0445,0.923,111.815,11Lt8PurPHYXmCYUJLUK7a,4,208306,FALSE,Ladies Night - Single Version,30,The Very Best Of Kool & The Gang (Reissue),B,major,B major,1980,35,Kool & the Gang,1
0.719,0.515,-11.168,0.113,0.362,1.95E-06,0.11,0.697,104.935,1S3RMWe23mYX6h3fevsgDq,4,226826,FALSE,Too Hot - Single Version,39,The Very Best Of Kool & The Gang (Reissue),G,minor,G minor,1980,36,Kool & the Gang,1
0.863,0.538,-13.924,0.0545,0.0129,0.0188,0.0877,0.877,118.931,3DIe90xqHuUDtyuapTwCAR,4,460800,FALSE,Take Your Time (Do It Right),44,S.O.S.,E,minor,E minor,1980,37,The S.O.S. Band,1
0.634,0.644,-8.234,0.0838,0.51,7.09E-05,0.32,0.286,135.24,1wSPm3y4Lk6ABkVxCmwkZx,4,282493,FALSE,No More Tears (Enough Is Enough) (feat. Donna Summer),44,The Essential Barbra Streisand,D,minor,D minor,1980,38,Barbra Streisand,1
0.523,0.529,-10.338,0.055,0.368,1.49E-06,0.0733,0.682,205.314,4SRAf6doXKEuMJxrHB8ILC,4,218160,FALSE,More Love,34,Gypsy Honeymoon: The Best Of Kim Carnes,C,minor,C minor,1980,39,Kim Carnes,1
0.94,0.727,-9.982,0.0358,0.124,0.00021,0.0808,0.969,110.8,0FBeVAGy58YREuZK2rpRVm,4,296466,FALSE,Pop Muzik - 12 Inch Version,48,"New York, London, Paris, Munich",C#,major,C# major,1980,40,M,1
0.771,0.499,-11.666,0.0354,0.395,7.78E-06,0.142,0.855,98.26,3C8btmBZo8scrLRUUPTOCF,4,185666,FALSE,Brass in Pocket,34,The Singles,A,major,A major,1980,41,The Pretenders,1
0.551,0.447,-12.293,0.0401,0.463,3.73E-06,0.189,0.558,84.175,570KJytRkVHTIocq1qomWF,4,252800,FALSE,Special Lady,38,"The Best Of Ray, Goodman & Brown",A,major,A major,1980,42,"Ray, Goodman & Brown",1
0.617,0.416,-15.548,0.0721,0.499,5.24E-06,0.102,0.506,72.977,226XymsZhuk1HSvEXLmHdm,4,242266,FALSE,Send One Your Love,20,The Definitive Collection,B,minor,B minor,1980,43,Stevie Wonder,1
0.801,0.388,-12.135,0.0505,0.0123,7.16E-05,0.0924,0.577,112.367,6yh8yf1jpPrTMA5cezYpbi,4,223293,FALSE,The Second Time Around,47,Big Fun,C#,major,C# major,1980,44,Shalamar,1
0.746,0.703,-7.853,0.0291,0.0014,0.00414,0.066,0.733,111.569,3Ug96zKa29P3vICEEcYajZ,4,257160,FALSE,We Don't Talk Anymore - 2001 Remaster,53,Rock 'n' Roll Juvenile,C,major,C major,1980,45,Cliff Richard,1
0.859,0.782,-8.344,0.0369,0.154,0.0297,0.0693,0.931,119.518,3EG65y2LtxWjfydabHdItb,4,247133,FALSE,Stomp! - Single Version,59,Strawberry Letter 23: The Very Best Of The Brothers Johnson,A#,major,A# major,1980,46,The Brothers Johnson,1
0.81,0.511,-6.454,0.0409,0.0778,0.000226,0.0714,0.858,113.153,2bzgKuK3pVez40qUvo8sYr,4,265678,FALSE,Heartache Tonight - 2013 Remaster,58,The Long Run (2013 Remaster),C,major,C major,1980,47,Eagles,1
0.7,0.789,-9.591,0.033,0.612,2.72E-05,0.445,0.819,120.804,6I1rRTrHoY0VDJPi64OYH5,4,214583,FALSE,Tired of Toein' the Line,0,Tired of Toein' the Line,G,major,G major,1980,48,Rocky Burnette,1
0.759,0.66,-10.675,0.0543,0.418,0,0.0381,0.885,102.92,2RwLs2dPoY8Tt1FumMvimx,4,180266,FALSE,Better Love Next Time,28,Dr. Hook - The Best Of,A,major,A major,1980,49,Dr. Hook,1
0.718,0.436,-13.524,0.032,0.339,0,0.0504,0.962,109.437,5rMthFHPxRDi4Uxg06iK6H,4,246293,FALSE,Him,49,Partners In Crime,E,major,E major,1980,50,Rupert Holmes,1
0.674,0.771,-5.612,0.0246,0.28,0.0318,0.133,0.718,109.618,1SWmFiFSIBoDbQJjNKC7SR,4,333720,FALSE,Against The Wind,62,Against The Wind,G,major,G major,1980,51,Bob Seger and the Silver Bullet Band,1
0.739,0.627,-7.51,0.0406,0.138,1.38E-06,0.0694,0.461,128.084,4lUVeOp7i7ijCRyOzUDrSJ,4,244600,FALSE,On The Radio,24,Summer: The Original Hits,E,minor,E minor,1980,52,Donna Summer,1
0.678,0.621,-5.478,0.0623,0.111,0.0973,0.0394,0.776,113.389,5IATbFZds3cbOx8YxuMuko,4,339400,FALSE,Emotional Rescue - Remastered 2009,51,Emotional Rescue (2009 Re-Mastered),F,major,F major,1980,53,The Rolling Stones,1
0.814,0.454,-10.802,0.0413,0.133,0.839,0.0863,0.903,99.265,7znZstuIvZjldNIO1E11U4,4,457400,FALSE,Rise,0,Rise,A#,major,A# major,1980,54,Herb Alpert,1
0.543,0.41,-10.801,0.0273,0.312,0.000252,0.381,0.512,108.235,0CMuiLAQ5jZWdb06Za3cGO,4,224040,FALSE,All Out of Love,39,80s 100 Hits,C,major,C major,1980,55,Air Supply,1
0.388,0.368,-10.984,0.0289,0.319,2.02E-06,0.0992,0.175,128.527,1RaUxP6LHVAgbmLOn2naLl,4,313320,FALSE,Cool Change - Remastered 2010,13,First Under The Wire (Remastered 2010),A,major,A major,1980,56,Little River Band,1
0.591,0.514,-10.183,0.0256,0.263,7.80E-06,0.0797,0.658,108.975,0qzEkwri1hE0rgxVqdOBAf,4,228000,FALSE,You're Only Lonely,46,You're Only Lonely,A,major,A major,1980,57,J.D. Souther,1
0.83,0.596,-6.996,0.0415,0.0902,0.000245,0.345,0.915,123.28,4DhSKuTuOcQ0t7EnC7QTWu,4,268706,FALSE,Desire,35,After Dark,G,major,G major,1980,58,Andy Gibb,1
0.651,0.653,-9.731,0.0545,0.365,0.000117,0.0742,0.729,164.912,0otlwsD3mSogk7VJCTp6Kg,4,164653,FALSE,Let My Love Open The Door,60,Empty Glass,C,major,C major,1980,59,Pete Townshend,1
0.571,0.721,-5.645,0.0307,0.404,0.00961,0.299,0.733,95.027,4kPLmTsTwA6wvtcbb0LtbM,4,212471,FALSE,Romeo's Tune,58,Jack Rabbit Slim,A,major,A major,1980,60,Steve Forbert,1
0.593,0.538,-8.292,0.0256,0.0171,2.80E-05,0.101,0.579,126.509,6qnPCgHTRisbxBT19Gw7cN,4,149293,FALSE,Daydream Believer,33,Anne Murray The Best Of...So Far - 20 Greatest Hits,A#,major,A# major,1980,61,Anne Murray,1
0.707,0.346,-12.397,0.0251,0.69,0.145,0.1,0.49,85.094,02BsTeJE4q5gWOTt58ur5U,4,295049,FALSE,I Can't Tell You Why - 2013 Remaster,62,The Long Run (2013 Remaster),B,minor,B minor,1980,62,Eagles,1
0.872,0.704,-8.247,0.0557,3.13E-05,0.61,0.0396,0.963,135.458,63eJr5SsnwE02bfACCpuFw,5,238000,FALSE,Don't Let Go - Single Version,14,Don't Let Go (Expanded Edition),G#,major,G# major,1980,63,Isaac Hayes,1
0.758,0.805,-4.243,0.0279,0.211,1.53E-05,0.0982,0.961,116.543,0UJ22mBBMyGx6aDA83Ym0w,4,161786,FALSE,Don't Do Me Like That,26,Damn The Torpedoes (Remastered),C,major,C major,1980,64,Tom Petty and the Heartbreakers,1
0.219,0.122,-15.905,0.0395,0.959,0.000351,0.114,0.131,176.009,5CoYwKhisukni6UEDXc2Pr,4,217280,FALSE,She's Out of My Life - Single Version,26,The Essential Michael Jackson,E,major,E major,1980,65,Michael Jackson,1
0.7,0.73,-8.763,0.0311,0.132,0,0.133,0.961,130.519,5CI1FP2Volc9wjz2MBZsGx,4,316066,FALSE,Fame,63,Fame (Original Motion Picture Soundtrack),C,minor,C minor,1980,66,Irene Cara,1
0.613,0.695,-5.783,0.0253,0.23,0.00191,0.187,0.45,122.47,2fZw0ya0oI4pXsjkB0NBHs,4,212986,FALSE,Fire Lake,52,Against The Wind,A,major,A major,1980,67,Bob Seger and the Silver Bullet Band,1
0.42,0.822,-8.269,0.0542,0.000427,3.83E-05,0.166,0.843,165.936,2WX2HSBKkcKVvqTukHZS22,4,144773,FALSE,How Do I Make You,35,Mad Love,B,major,B major,1980,68,Linda Ronstadt,1
0.435,0.69,-6.635,0.0388,0.463,0,0.104,0.51,163.486,0rhyBUAgNXwdyvGVXSrLzc,4,271800,FALSE,Into The Night,55,Never Run Never Hide,C,minor,C minor,1980,69,Benny Mardones,1
0.461,0.521,-10.537,0.0473,0.359,0,0.108,0.602,103.731,1WAgOLAwbYdscakb25EhQI,4,163853,FALSE,Let Me Love You Tonight,27,Throwback Tunes: 1980,A#,major,A# major,1980,70,Pure Prairie League,1
0.645,0.828,-8.493,0.0373,0.234,0,0.2,0.774,121.217,7zjSZQkMoGKylSq6s1rK9Y,3,191666,FALSE,Misunderstanding,53,Duke,C,major,C major,1980,71,Genesis,1
0.776,0.635,-6.321,0.0282,0.253,0,0.0817,0.825,111.192,4zqFPSBji6hVDBFWxzp6Oz,4,217200,FALSE,An American Dream,50,An American Dream,D,major,D major,1980,72,The Dirt Band,1
0.397,0.809,-6.557,0.0348,0.0133,0.00176,0.277,0.735,180.804,0yFNDhDfpUudsjtpwokyx0,4,150200,FALSE,One Fine Day,39,Pearls: Songs of Goffin & King,F,major,F major,1980,73,Carole King,1
0.793,0.84,-5.694,0.033,0.0893,0.000179,0.781,0.857,120.395,1aT3NMtJ1N0X09RBDWcBHE,4,237800,FALSE,Dim All The Lights - Edit,15,Summer: The Original Hits,G,major,G major,1980,74,Donna Summer,1
0.567,0.945,-7.243,0.0458,0.175,2.60E-06,0.35,0.961,150.792,7gMOe0gXYcELUoVugfMmHP,4,253200,FALSE,You May Be Right,61,Glass Houses,A,major,A major,1980,75,Billy Joel,1
0.295,0.274,-10.942,0.032,0.799,8.74E-06,0.0831,0.268,144.766,4hIAiFaEtHWWofVzVm4eTo,4,258133,FALSE,Should've Never Let You Go,31,The Definitive Collection,A#,major,A# major,1980,76,Neil,1
0.62,0.426,-13.791,0.0352,0.671,0.000706,0.102,0.614,119.65,0aMgFXpZTDZvWqMXwPIMNK,4,235115,FALSE,Pilot of the Airwaves,32,Where to Now,D,major,D major,1980,77,Charlie Dore,1
0.63,0.432,-9.454,0.0275,0.371,7.11E-05,0.11,0.604,99.889,3c0Ys2ie05I4Csansv7Jhi,4,196000,FALSE,Hurt so Bad,38,Mad Love,G,minor,G minor,1980,78,Linda Ronstadt,1
0.842,0.805,-6.666,0.0483,0.193,0,0.156,0.896,119.257,4YgLH0GqoGeWas8hN7ehXn,4,225560,FALSE,Off the Wall,36,The Essential Michael Jackson,D#,minor,D# minor,1980,79,Michael Jackson,1
0.521,0.323,-14.361,0.0304,0.642,0,0.0821,0.525,180.094,3l0rRcGUWjTopZE3enqOfR,3,251813,FALSE,I Pledge My Love,8,20th Century Masters: The Millennium Collection: The Best Of Peaches & Herb,F,major,F major,1980,80,Peaches & Herb,1
0.803,0.521,-7.775,0.0276,0.139,0.00899,0.081,0.969,99.46,2YOwVfcUTRjNpcLny4UC4r,4,221234,FALSE,The Long Run - 2013 Remaster,55,The Long Run (2013 Remaster),C,major,C major,1980,81,Eagles,1
0.658,0.508,-9.411,0.0252,0.612,0.0268,0.1,0.341,90.963,51ASnvC2yePhcI3NpEzBzS,4,215960,FALSE,Stand by Me,30,The Essential Mickey Gilley,E,major,E major,1980,82,Mickey Gilley,1
0.466,0.588,-10.666,0.0812,0.285,9.94E-06,0.0535,0.882,156.131,22ML0MuFKfw16WejbxsLOy,4,209360,FALSE,Heartbreaker,61,In The Heat Of The Night,F,minor,F minor,1980,83,Pat Benatar,1
0.604,0.624,-9.797,0.042,0.525,0.000129,0.119,0.62,145.44,3ZQfGkPLmXOwSAbC9YZXtX,4,230373,FALSE,Deja Vu - Single Version,22,Dionne (Expanded Edition),C#,minor,C# minor,1980,84,Dionne Warwick,1
0.66,0.639,-12.749,0.0369,0.0966,0.00104,0.0442,0.843,84.124,3PJ9yQv8IUmLx24KFvaVEI,4,194666,FALSE,Drivin' My Life Away,49,All Time Greatest Hits,A,major,A major,1980,85,Eddie Rabbitt,1
0.423,0.499,-14.548,0.0301,0.218,0.000561,0.0834,0.391,76.846,2V2vMp1KIyoUelGT2znztx,4,309847,FALSE,Take The Long Way Home,31,Breakfast In America,F,major,F major,1980,86,Supertramp,1
0.735,0.534,-12.154,0.0295,0.423,0.00267,0.204,0.551,127.01,0YuCATlVwxG5Mq8lN2Omro,4,275106,FALSE,Sara - 2015 Remaster,48,Tusk (Deluxe Edition),A#,major,A# major,1980,87,Fleetwood Mac,1
0.59,0.731,-7.12,0.0303,0.161,3.07E-06,0.0744,0.918,175.268,3wiM6jj066wDeNaCnxKsRk,4,247800,FALSE,Wait for Me,40,X-Static (Expanded Edition),A#,major,A# major,1980,88,Hall & Oates,1
0.684,0.451,-12.386,0.0333,0.285,0.00624,0.0721,0.882,94.956,74rGiYSgBy34Cw19WJGr0b,4,353000,FALSE,JoJo,16,The Essential Boz Scaggs,F,minor,F minor,1980,89,Boz Scaggs,1
0.419,0.23,-17.102,0.0359,0.628,5.85E-06,0.222,0.199,128.892,2CXkN6UAb3jAFwz4VbsDq0,4,232000,FALSE,September Morn,56,September Morn,A#,major,A# major,1980,90,Neil Diamond,1
0.85,0.466,-15.673,0.0555,0.314,0.0234,0.129,0.86,109.936,62GYoGszQfROZswLee6W3O,4,222626,FALSE,Give Me the Night,61,The George Benson Collection,C#,major,C# major,1980,91,George Benson,1
0.431,0.446,-8.493,0.0266,0.262,2.93E-06,0.134,0.0876,133.841,07Cs882pDSCuggekDdmw4K,4,238066,FALSE,Broken Hearted Me,43,Anne Murray The Best Of...So Far - 20 Greatest Hits,C#,major,C# major,1980,92,Anne Murray,1
0.264,0.307,-12.36,0.0341,0.662,0,0.101,0.153,172.546,6SFeCisbYSqaQwL9hucoF2,4,218133,FALSE,You Decorated My Life,56,Kenny,G,major,G major,1980,93,Kenny Rogers,1
0.628,0.779,-11.841,0.0831,0.224,0.776,0.151,0.936,180.837,0iINibMKtoS8duvexsqnm5,4,217573,FALSE,Tusk - 2015 Remaster,55,Tusk (Deluxe Edition),C,major,C major,1980,94,Fleetwood Mac,1
0.793,0.442,-11.293,0.0564,0.236,0.00163,0.0662,0.833,115.995,2DoJOB3LsuencnLZBrW2NX,3,180080,FALSE,I Wanna Be Your Lover - Single Version,18,4Ever,G#,minor,G# minor,1980,95,Prince,1
0.64,0.855,-9.97,0.0613,0.0888,0.000131,0.0824,0.863,117.72,6IcoSnfvwFlYtYxu5TKbgg,4,198373,FALSE,In America,34,A Decade Of Hits,C,major,C major,1980,96,Charlie Daniels Band,1
0.584,0.703,-11.46,0.039,0.106,0.000916,0.171,0.454,146.302,4No2FCBednOtAu66HAYsEv,4,275120,FALSE,Breakdown Dead Ahead,19,The Essential Boz Scaggs,G,major,G major,1980,97,Boz Scaggs,1
0.288,0.356,-8.264,0.031,0.719,0,0.128,0.107,125.808,6lOF261K1uiPZgKtureE90,4,248733,FALSE,Ships,37,One Voice,C#,major,C# major,1980,98,Barry Manilow,1
0.579,0.705,-4.911,0.0339,0.0273,0,0.0704,0.761,116.173,0xNTHshHwDtCAn04Lq2i4H,4,201693,FALSE,Refugee,28,Damn The Torpedoes (Remastered),F#,minor,F# minor,1980,100,Tom Petty and the Heartbreakers,1
0.675,0.649,-10.271,0.0319,0.0204,0,0.0959,0.596,116.624,0odIT9B9BvOCnXfS0e4lB5,4,228000,FALSE,Bette Davis Eyes,74,Mistaken Identity,F,major,F major,1981,1,Kim Carnes,1
0.456,0.332,-9.775,0.025,0.665,0.000248,0.138,0.237,93.633,0FGxAEMIE5GhyFqFMHRWaO,4,266266,FALSE,"Endless Love - From ""The Endless Love"" Soundtrack",53,The Definitive Collection,A#,major,A# major,1981,2,Diana Ross,1
0.455,0.267,-13.156,0.0311,0.633,4.65E-06,0.132,0.171,67.858,3liZoKeEr6fosBe4fiIOyF,4,231266,FALSE,Lady - Remastered 2006,0,Number Ones,D#,minor,D# minor,1981,3,Kenny Rogers,1
0.701,0.79,-6.16,0.0725,0.301,6.06E-05,0.179,0.421,99.104,5y0YreEOnQiKFAnCrcFIXz,4,236546,FALSE,(Just Like) Starting Over - Remastered 2010,57,Double Fantasy: Stripped Down,A,major,A major,1981,4,John Lennon,1
0.727,0.834,-5.851,0.0496,0.165,0,0.105,0.816,131.7,5RsUlxLto4NZbhJpqJbHfN,4,194120,FALSE,Jessie's Girl,68,Working Class Dog,D,major,D major,1981,5,Rick Springfield,1
0.885,0.664,-11.795,0.0524,0.145,0.0483,0.0767,0.906,121.632,3K7Q9PHUWPTaknlbFPThn2,4,298866,FALSE,Celebration,68,Celebrate!,C#,major,C# major,1981,6,Kool & the Gang,1
0.815,0.741,-9.478,0.031,0.434,0.115,0.0689,0.965,121.221,7cDzJyC95jtGO9zAeZsWOg,4,264986,FALSE,Kiss on My List,59,Voices,C,major,C major,1981,7,Hall & Oates,1
0.689,0.742,-7.325,0.0485,0.0978,0,0.26,0.963,131.474,07MQJTa5Vvnxfjm4yduuvW,4,189320,FALSE,I Love a Rainy Night - 2009 Remaster,28,Number One Hits,C,major,C major,1981,8,Eddie Rabbitt,1
0.554,0.783,-5.852,0.0457,0.416,1.54E-06,0.631,0.813,105.39,4w3tQBXhn5345eUXDGBWZG,4,162466,FALSE,9 to 5,74,9 To 5 And Odd Jobs,F#,major,F# major,1981,9,Dolly Parton,1
0.306,0.722,-5.963,0.034,0.0519,0,0.117,0.41,174.732,4rcHWl68ai6KvpXlc8vbnE,4,200293,FALSE,Keep on Loving You,69,Hi Infidelity (30th Anniversary Edition),C,major,C major,1981,10,REO Speedwagon,1
0.521,0.743,-5.903,0.0338,0.249,0,0.096,0.451,117.129,375ntCG12wzCyfzclwYFwG,4,195293,FALSE,"Believe It or Not (Theme from ""Greatest American Hero"")",54,America's Greatest Hero,D,major,D major,1981,11,Joey Scarbury,1
0.76,0.556,-8.872,0.0817,0.63,0,0.148,0.817,121.818,1qvDt6W8oaTO9Q4pFNMFEm,4,200826,FALSE,Morning Train (Nine to Five) - Edit,54,Take My Time,F,minor,F minor,1981,12,Sheena Easton,1
0.626,0.371,-11.174,0.0276,0.816,3.96E-06,0.0733,0.666,108.752,5pzKDMWXDRDBgoTgFWlWE4,4,248533,FALSE,Being With You,0,20th Century Masters: The Millennium Collection: Best of Smokey Robinson,C,minor,C minor,1981,13,Smokey Robinson,1
0.669,0.779,-11.522,0.0533,0.211,8.98E-05,0.132,0.975,169.478,6xBUWSz8INNHO6wFYuPtQl,4,206866,FALSE,Queen Of Hearts,44,Juice Newton's Greatest Hits,D,major,D major,1981,14,Juice Newton,1
0.724,0.704,-8.258,0.0511,0.113,0.00425,0.466,0.96,107.486,6F2vo4sxRNQ58VYe3pdiaL,4,299373,FALSE,Rapture,54,Greatest Hits: Blondie,B,minor,B minor,1981,15,Blondie,1
0.744,0.376,-14.937,0.0395,0.479,3.86E-05,0.254,0.696,91.113,0DEwNI2DgasX1eprqCivJk,4,249053,FALSE,A Woman Needs Love (Just Like You Do),45,A Woman Needs Love (Expanded Edition),F#,minor,F# minor,1981,16,Raydio,1
0.778,0.667,-7.273,0.0258,0.0514,0.0312,0.092,0.964,96.954,165NAtd2DRPKNQ6EVY0VG9,4,233893,FALSE,The Tide Is High - Edit,50,Tide Is High,B,major,B major,1981,17,Blondie,1
